Serial,Name,Type,Operating System,Status,Service Date
1,Mac Book Pro,Computer,MAC OS,Active,31-Dec-2024
2,Dell XPS,Computer,Windows 11,Active,15-Jan-2025
3,HP Pavilion,Computer,Windows 10,Active,20-Feb-2025
4,Lenovo ThinkPad,Computer,Linux,Active,18-Mar-2025
5,Acer Aspire,Computer,Windows 11,Active,23-Apr-2025
6,Asus ROG,Computer,Windows 10,Active,30-May-2025
7,Mac Mini,Computer,MAC OS,Active,10-Jun-2025
8,MacBook Air,Computer,MAC OS,Active,19-Jul-2025
9,Dell Inspiron,Computer,Windows 10,Active,25-Aug-2025
10,HP Envy,Computer,Windows 11,Active,12-Sep-2025
11,Lenovo Yoga,Computer,Linux,Active,04-Oct-2025
12,Acer Nitro,Computer,Windows 11,Active,20-Nov-2025
13,Asus ZenBook,Computer,Windows 10,Active,31-Dec-2025
14,Mac Studio,Computer,MAC OS,Active,22-Jan-2026
15,iMac Pro,Computer,MAC OS,Active,05-Feb-2026
16,Dell Latitude,Computer,Windows 10,Active,14-Mar-2026
17,HP Spectre,Computer,Windows 11,Active,25-Apr-2026
18,Lenovo Legion,Computer,Linux,Active,09-May-2026
19,Acer Swift,Computer,Windows 11,Active,27-Jun-2026
20,Asus VivoBook,Computer,Windows 10,Active,30-Jul-2026
21,Mac Pro,Computer,MAC OS,Active,14-Aug-2026
22,Surface Laptop,Computer,Windows 11,Active,10-Sep-2026
23,Surface Pro,Computer,Windows 10,Active,03-Oct-2026
24,Dell Precision,Computer,Linux,Active,28-Nov-2026
25,HP Omen,Computer,Windows 11,Active,12-Dec-2026
26,Lenovo Ideapad,Computer,Windows 10,Active,22-Jan-2027
27,Acer Predator,Computer,Windows 11,Active,14-Feb-2027
28,Asus TUF,Computer,Linux,Active,09-Mar-2027
29,MacBook 12,Computer,MAC OS,Active,17-Apr-2027
30,Dell Vostro,Computer,Windows 10,Active,29-May-2027
31,HP ProBook,Computer,Windows 11,Active,18-Jun-2027
32,Lenovo Carbon X1,Computer,Linux,Active,24-Jul-2027
33,Acer Chromebook,Computer,Chrome OS,Active,11-Aug-2027
34,Asus Chromebook,Computer,Chrome OS,Active,02-Sep-2027
35,MacBook Classic,Computer,MAC OS,Active,26-Oct-2027
36,iMac 24-inch,Computer,MAC OS,Active,14-Nov-2027
37,Dell Alienware,Computer,Windows 11,Active,30-Dec-2027
38,HP EliteBook,Computer,Windows 10,Active,20-Jan-2028
39,Lenovo Slim 7,Computer,Linux,Active,09-Feb-2028
40,Acer Spin,Computer,Windows 11,Active,03-Mar-2028
41,Asus Flip,Computer,Windows 10,Active,18-Apr-2028
42,MacBook 13-inch,Computer,MAC OS,Active,22-May-2028
43,Dell G5,Computer,Windows 11,Active,10-Jun-2028
44,HP ZBook,Computer,Windows 10,Active,07-Jul-2028
45,Lenovo 100e,Computer,Linux,Active,30-Aug-2028
46,Acer ConceptD,Computer,Windows 11,Active,15-Sep-2028
47,Asus ProArt,Computer,Windows 10,Active,02-Oct-2028
48,MacBook 15-inch,Computer,MAC OS,Active,17-Nov-2028
49,Surface Go,Computer,Windows 10,Active,30-Dec-2028
50,Dell Studio,Computer,Linux,Active,14-Jan-2029
51,HP Workstation,Computer,Windows 11,Active,03-Feb-2029
52,Lenovo ThinkCentre,Computer,Linux,Active,28-Mar-2029
53,Acer One,Computer,Windows 11,Active,16-Apr-2029
54,Asus Eee PC,Computer,Windows 10,Active,23-May-2029
55,Mac Classic,Computer,MAC OS,Active,18-Jun-2029
56,Dell Chromebook,Computer,Chrome OS,Active,09-Jul-2029
57,HP Chromebook,Computer,Chrome OS,Active,22-Aug-2029
58,Lenovo Chromebook,Computer,Chrome OS,Active,04-Sep-2029
